I0,I1
3274.10,55.60
-3880.10,55.70
-9666.70,55.40
-11996.30,54.90
-9997.00,54.30
-4359.10,53.70
2886.50,53.50
9090.30,54.20
11948.30,55.60
10369.20,57.10
4907.00,58.30
-2416.40,58.50
-8844.20,57.90
75.40,57.00
453.10,56.10
831.50,55.30
1210.10,54.80
1588.70,54.90
1966.80,55.20
2344.00,55.40
2720.00,55.40
3094.30,55.20
3466.40,55.00
3836.10,54.70
4202.90,54.30
4566.30,53.70
4926.00,52.90
5281.40,52.10
5632.30,51.20
5978.10,50.10
6318.40,49.00
6652.80,47.90
6980.90,46.60
7302.30,45.20
7616.40,43.70
7923.00,42.20
8221.50,40.60
8511.60,38.90
8792.80,37.00
9064.80,35.20
9327.10,33.30
9579.30,31.20
9821.10,29.10
10052.00,27.20
10271.80,25.70
10479.90,24.60
10676.10,23.30
10860.10,22.00
11031.40,20.40
11189.70,18.70
11334.80,16.80
11466.40,14.70
11584.00,14.70
11687.60,12.70
11776.80,10.60
11851.30,8.40
11911.00,6.10
11955.60,3.80
11984.90,1.30
11998.80,-1.10
11997.10,-3.70
11979.70,-6.30
11946.40,-9.00
11897.10,-11.60
11831.80,-14.30
11750.50,-17.00
11653.00,-19.70
11539.30,-22.50
11409.60,-25.20
11263.80,-27.90
11101.90,-30.60
10924.10,-33.20
10730.50,-35.90
10521.10,-38.50
10296.30,-41.10
10056.00,-43.60
9800.60,-46.20
9530.40,-48.70
9245.40,-51.20
8946.10,-53.60
8632.80,-56.00
8305.70,-58.50
7965.30,-60.90
7612.00,-63.30
7246.20,-65.60
6868.30,-67.50
6478.80,-68.80
6078.20,-69.80
5667.00,-70.90
