I0,I1
-4596.20,6.70
-4958.40,6.30
-5272.00,5.90
-5533.20,5.30
-5738.90,4.60
-5886.50,3.80
-5973.90,2.60
-5999.80,1.40
-5963.20,0.20
-5864.10,-1.10
-5702.80,-2.20
-5480.60,-3.20
-5199.20,-4.10
-4861.20,-5.10
-4469.70,-6.10
-4028.50,-7.30
-3542.00,-8.40
-3015.10,-9.50
-2453.20,-10.40
-1862.40,-11.30
-1248.90,-12.00
-619.60,-12.60
18.60,-13.10
658.60,-13.60
1292.90,-13.90
1914.10,-14.00
2515.10,-13.90
3088.40,-13.80
3627.30,-13.60
4124.90,-13.50
4574.90,-13.40
4971.70,-13.10
5309.80,-12.50
5584.70,-11.80
5792.40,-11.10
5929.90,-10.30
5994.70,-9.70
5985.50,-9.10
5901.60,-8.20
5743.50,-7.00
5512.40,-5.90
5210.70,-4.70
4841.60,-3.60
4409.10,-2.60
3918.40,-1.60
3375.30,-0.60
2786.50,0.30
2159.20,1.20
1501.60,2.00
821.90,2.50
129.20,2.90
-567.30,3.30
-1258.20,3.60
-1934.00,3.80
-2585.30,3.90
-3202.90,3.70
-3777.80,3.50
-4301.70,3.10
-4766.70,2.60
-5165.80,2.20
-5492.60,1.70
-5741.70,1.00
-5909.00,0.10
-5991.30,-0.70
-5986.50,-1.50
-5894.10,-2.40
-5714.50,-3.20
-5449.60,-4.20
-5102.60,-5.40
-4678.00,-6.70
-4181.60,-8.00
-3620.10,-9.40
-3001.70,-10.20
-2335.30,-10.20
-1630.80,-10.90
-898.90,-11.50
-150.60,-11.90
602.20,-12.30
1347.70,-12.70
2074.00,-13.10
2769.20,-13.20
3421.90,-13.20
4021.00,-13.10
4556.20,-12.90
5018.30,-12.70
5398.90,-12.60
5690.90,-12.40
5888.70,-11.70
5988.10,-10.90
5986.50,-10.00
5883.00,-9.00
5678.50,-8.10
5375.60,-7.10
4978.70,-6.10
4493.90,-5.00
3928.80,-3.70
3292.80,-2.60
2596.40,-1.60
1851.60,-0.70
1071.30,-0.10
269.40,0.60
-539.80,1.20
-1341.60,1.70
-2121.10,2.00
-2863.70,2.10
-3555.20,2.00
-4182.20,1.80
-4732.20,1.60
-5194.30,1.30
-5558.70,1.00
-5817.50,0.60
-5965.00,0.10
-5997.00,-0.60
-5912.10,-1.70
-5710.80,-2.90
-5396.10,-4.10
-4973.20,-5.50
-4449.50,-6.80
-3834.80,-7.90
-3140.70,-8.80
-2380.50,-9.60
-1569.30,-10.20
-723.30,-10.70
140.10,-11.30
1003.20,-11.80
1847.90,-12.10
2656.00,-12.20
3410.20,-12.20
4093.80,-12.00
4691.50,-11.80
5189.50,-11.70
5576.20,-11.60
5842.10,-11.30
5980.20,-10.50
5986.30,-9.70
5859.10,-8.70
5600.30,-7.70
5214.40,-6.70
4709.20,-5.80
4095.10,-4.80
3385.20,-3.70
2595.00,-2.60
1742.20,-1.70
846.20,-0.90
-72.40,-0.20
-992.00,0.20
-1890.70,0.50
-2746.90,0.70
-3539.60,0.80
-4248.80,0.70
-4856.70,0.40
-5347.30,0.00
-5707.60,-0.50
-5927.40,-1.10
-6000.00,-1.90
-5922.20,-1.90
-5694.60,-2.90
-5321.70,-3.90
-4811.60,-5.10
-4176.40,-6.30
-3431.30,-7.20
-2594.70,-8.10
-1687.70,-8.70
-733.60,-9.20
242.90,-9.90
1215.70,-10.60
2158.80,-11.10
3046.60,-11.40
3854.30,-11.40
4559.20,-11.30
5141.10,-11.00
5582.70,-10.90
5870.50,-10.80
5995.00,-10.50
5951.40,-9.90
5739.30,-9.10
5363.20,-8.10
4832.50,-7.10
4161.00,-6.10
3367.00,-5.30
2472.50,-4.40
1502.80,-3.40
485.90,-2.50
-548.40,-1.70
-1569.40,-1.10
-2546.30,-0.60
-3449.20,-0.40
-4250.00,-0.20
-4923.20,-0.30
-5447.00,-0.60
-5803.70,-1.00
-5981.00,-1.60
-5971.40,-2.30
-5773.80,-3.10
-5392.50,-4.20
-4838.30,-5.30
-4127.20,-6.40
-3280.90,-7.30
-2325.50,-7.90
-1291.50,-8.50
-211.90,-9.20
877.90,-9.90
1941.80,-10.50
2943.80,-10.80
3849.80,-11.00
4628.20,-10.90
5251.40,-10.70
5696.50,-10.50
5946.70,-10.40
5991.50,-10.30
5827.60,-9.70
5458.70,-8.80
4896.10,-7.80
4158.10,-6.80
3269.40,-5.80
2260.60,-5.10
1167.10,-4.40
28.00,-3.70
-1115.60,-3.10
-2221.60,-2.50
-3248.50,-2.30
-4157.50,-2.20
-4913.50,-2.30
-5486.60,-2.50
-5853.40,-2.80
-5998.00,-3.20
-5913.00,-3.80
-5599.50,-4.50
-5067.60,-5.30
-4336.30,-6.30
-3432.40,-7.20
-2390.20,-8.30
-1249.80,-9.10
-56.10,-9.90
1143.40,-10.50
2300.20,-11.00
3366.70,-11.20
4298.50,-11.20
5055.90,-11.20
5605.80,-11.10
5923.60,-10.90
5993.80,-10.70
5811.10,-10.30
5381.20,-9.70
4720.10,-8.90
3854.30,-7.90
2819.20,-6.90
1658.50,-5.90
421.70,-5.10
-837.20,-4.40
-2062.80,-3.80
-3200.10,-3.10
-4197.40,-2.70
-5008.40,-2.60
-5594.80,-2.70
-5927.60,-3.00
-5989.40,-3.20
-5775.00,-3.30
-5291.60,-3.70
-4559.70,-4.40
-3611.20,-5.30
-2489.30,-6.50
-1245.60,-7.70
61.30,-8.60
1369.20,-9.30
2614.60,-9.90
3736.30,-10.30
4678.30,-10.60
5392.40,-10.60
5841.20,-10.40
5999.90,-10.30
5857.90,-10.00
5419.80,-9.40
4705.10,-8.60
3748.00,-7.70
2595.30,-6.70
1305.10,-5.70
-56.90,-4.90
-1419.80,-4.10
-2712.10,-3.70
-3864.50,-3.30
-4814.50,-3.00
-5509.20,-2.90
-5909.00,-3.10
-5989.50,-3.30
-5743.50,-3.60
-5181.50,-4.20
-4331.80,-5.10
-3239.00,-6.30
-1961.90,-7.40
-570.90,-8.20
856.60,-9.00
2239.50,-9.60
3498.30,-10.00
4559.40,-10.30
5359.60,-10.30
5850.00,-10.20
5998.90,-10.10
5794.70,-10.00
5246.10,-9.70
4382.90,-9.30
3254.20,-8.70
1925.60,-7.90
476.20,-6.90
-1006.60,-6.10
-2431.80,-5.40
-3710.90,-5.10
-4762.90,-5.00
-5520.00,-4.90
-5931.70,-4.80
-5969.10,-4.90
-5626.30,-5.30
-4921.90,-6.00
-3898.20,-7.00
-2618.60,-8.20
-1164.40,-9.20
370.40,-10.00
1885.40,-10.70
3279.50,-11.30
4458.60,-11.30
5341.40,-11.70
5865.70,-11.90
5992.60,-11.90
5709.70,-11.60
5033.00,-10.90
4005.80,-10.00
2696.60,-9.10
1194.50,-8.10
-396.20,-7.30
-1963.40,-6.60
-3395.20,-5.90
-4587.50,-5.40
-5452.00,-5.10
-5923.20,-5.10
-5963.00,-5.20
-5564.60,-5.40
-4753.70,-5.80
-3586.80,-6.50
-2148.10,-7.50
-543.60,-8.50
1106.80,-9.60
2677.70,-10.40
4048.10,-11.10
